Order ID,Returned
CA-2016-100762,Yes
CA-2016-100867,Yes
CA-2016-102652,Yes
CA-2016-103373,Yes
CA-2016-103744,Yes
CA-2016-103940,Yes
CA-2016-104829,Yes
CA-2016-105270,Yes
CA-2016-108609,Yes
CA-2016-108861,Yes
CA-2016-109918,Yes
CA-2016-110786,Yes
CA-2016-111871,Yes
CA-2016-116785,Yes
CA-2016-123225,Yes
CA-2016-123253,Yes
CA-2016-123498,Yes
CA-2016-124688,Yes
CA-2016-126361,Yes
CA-2016-126403,Yes
CA-2016-126522,Yes
CA-2016-127012,Yes
CA-2016-127131,Yes
CA-2016-133690,Yes
CA-2016-134726,Yes
CA-2016-135657,Yes
CA-2016-135699,Yes
CA-2016-140816,Yes
CA-2016-141726,Yes
CA-2016-142769,Yes
CA-2016-143336,Yes
CA-2016-143840,Yes
CA-2016-148614,Yes
CA-2016-148950,Yes
CA-2016-151162,Yes
CA-2016-152345,Yes
CA-2016-153150,Yes
CA-2016-156349,Yes
CA-2016-157924,Yes
CA-2016-159338,Yes
CA-2016-160766,Yes
CA-2016-160773,Yes
CA-2016-164721,Yes
CA-2016-164861,Yes
CA-2016-166744,Yes
CA-2016-169019,Yes
CA-2017-101910,Yes
CA-2017-103716,Yes
CA-2017-104129,Yes
CA-2017-105158,Yes
CA-2017-107678,Yes
CA-2017-109736,Yes
CA-2017-110814,Yes
CA-2017-111948,Yes
CA-2017-112144,Yes
CA-2017-113628,Yes
CA-2017-114048,Yes
CA-2017-116092,Yes
CA-2017-119214,Yes
CA-2017-119907,Yes
CA-2017-123568,Yes
CA-2017-124058,Yes
CA-2017-130456,Yes
CA-2017-130785,Yes
CA-2017-132374,Yes
CA-2017-132941,Yes
CA-2017-134075,Yes
CA-2017-134201,Yes
CA-2017-135580,Yes
CA-2017-138674,Yes
CA-2017-139731,Yes
CA-2017-140984,Yes
CA-2017-141593,Yes
CA-2017-142601,Yes
CA-2017-143238,Yes
CA-2017-143490,Yes
CA-2017-143602,Yes
CA-2017-144267,Yes
CA-2017-146255,Yes
CA-2017-146262,Yes
CA-2017-146486,Yes
CA-2017-148873,Yes
CA-2017-149342,Yes
CA-2017-149636,Yes
CA-2017-149650,Yes
CA-2017-150770,Yes
CA-2017-150875,Yes
CA-2017-151547,Yes
CA-2017-153220,Yes
CA-2017-154970,Yes
CA-2017-155761,Yes
CA-2017-156440,Yes
CA-2017-157770,Yes
CA-2017-157812,Yes
CA-2017-161627,Yes
CA-2017-162166,Yes
CA-2017-164882,Yes
CA-2017-168480,Yes
CA-2017-168564,Yes
CA-2017-169397,Yes
CA-2018-104689,Yes
CA-2018-105081,Yes
CA-2018-105291,Yes
CA-2018-105585,Yes
CA-2018-106950,Yes
CA-2018-109806,Yes
CA-2018-109869,Yes
CA-2018-111682,Yes
CA-2018-112123,Yes
CA-2018-112340,Yes
CA-2018-113341,Yes
CA-2018-114307,Yes
CA-2018-114727,Yes
CA-2018-115917,Yes
CA-2018-116547,Yes
CA-2018-116736,Yes
CA-2018-118311,Yes
CA-2018-118500,Yes
CA-2018-118899,Yes
CA-2018-120873,Yes
CA-2018-123526,Yes
CA-2018-124527,Yes
CA-2018-126529,Yes
CA-2018-126732,Yes
CA-2018-128671,Yes
CA-2018-130477,Yes
CA-2018-130638,Yes
CA-2018-130680,Yes
CA-2018-133319,Yes
CA-2018-133368,Yes
CA-2018-133802,Yes
CA-2018-134775,Yes
CA-2018-134803,Yes
CA-2018-136483,Yes
CA-2018-136924,Yes
CA-2018-138282,Yes
CA-2018-139269,Yes
CA-2018-142398,Yes
CA-2018-145261,Yes
CA-2018-145492,Yes
CA-2018-145583,Yes
CA-2018-145919,Yes
CA-2018-145982,Yes
CA-2018-147375,Yes
CA-2018-148796,Yes
CA-2018-150077,Yes
CA-2018-151323,Yes
CA-2018-151372,Yes
CA-2018-152814,Yes
CA-2018-157280,Yes
CA-2018-159023,Yes
CA-2018-159212,Yes
CA-2018-159345,Yes
CA-2018-161746,Yes
CA-2018-162138,Yes
CA-2018-162159,Yes
CA-2018-165330,Yes
CA-2018-166275,Yes
CA-2018-167759,Yes
